нілагерцаў	кілагерцаў
Стальнм	Стальны
ныконваем	выконваем
канкрэтнасню	канкрэтнасцю
пягніка	цягніка
Выбрлнае	Выбранае
гледачлм	гледачам
ііасрэднаму	пасрэднаму
алкрытай	адкрытай
парабчанкан	парабчанкай
адкіднмм	адкідным
пвляцяць	паляцяць
калопе	калоне
юбілейпая	юбілейная
пязбег	пазбег
навеяныя	нявеяныя
рэспубіік	рэспублік
пралукты	прадукты
Кветны	Кветцы
траііляюць	трапляюць
шыронім	шырокім
служачм	служачы
абвеспі	абвесці
сямейстаа	сямейства
дасталя	дастала
нейквй	нейкай
самогя	самога
пармваў	парываў
сяменныя	сямейныя
Гогзля	Гогаля
Школныя	Шкодныя
кінаселнсаў	кінасеансаў
Умлцоўваюцца	Умацоўваюцца
сввбоды	свабоды
Днаранскага	Дваранскага
пазкаёмімся	пазнаёмімся
вздзіцелям	вадзіцелям
нзпрамку	напрамку
прабяжыііь	прабяжыць
разаітыя	развітыя
фармальнан	фармальнай
шумень	шумець
аднаведнасці	адпаведнасці
старлліся	стараліся
магацца	матацца
нікелірананыя	нікеліраваныя
СтаўпвмІ	СтаўпамІ
задумзлася	задумалася
дарэмнан	дарэмнай
нейкіы	нейкім
ныкладчык	выкладчык
влжным	важным
Спякойны	Спакойны
прзходзіў	праходзіў
посіць	носіць
падлале	падпале
аахварэў	захварэў
канструнтарам	канструктарам
канінул	канікул
свабоднв	свабодна
рэснубліканскае	рэспубліканскае
зняёмую	знаёмую
нямэла	няміла
суцзльны	суцэльны
журналістыкя	журналістыка
Добрвя	Добрая
гсроем	героем
абяраняць	абараняць
паскардзіііца	паскардзіцца
забіраене	забіраеце
раэмаўляем	размаўляем
лктуальныя	актуальныя
Ультракароткахвалевы	Ультракараткахвалевы
меркавадася	меркавалася
праўленіія	праўлення
сроднаў	сродкаў
прыяабліваць	прывабліваць
саітанні	світанні
заслужаняя	заслужаная
душввое	душавое
справіцця	справіцца
вленнапалоннага	ваеннапалоннага
дынлом	дыплом
вырастле	вырастае
сепьскія	сельскія
пяперашнія	цяперашнія
знаёміііца	знаёміцца
цяжкзсці	цяжкасці
распаўсюджвяльнікаў	распаўсюджвальнікаў
адзінанцаць	адзінаццаць
ніаіна	нізіна
голубы	галубы
каіанізатарам	каланізатарам
Пругкія	Пруткія
самадзейнзму	самадзейнаму
Нікіфвраў	Нікіфараў
палцісНуць	падцісНуць
тлгачаснай	тагачаснай
шыльдв	шыльда
прыглсдзеўся	прыгледзеўся
эканомнас	эканомнае
лкцёрскія	акцёрскія
спсраду	спераду
універсітзтам	універсітэтам
зябыўшыся	забыўшыся
сектанцгва	сектанцтва
матарызапанага	матарызаванага
псравыдаў	перавыдаў
некзторых	некаторых
звлрухнуўся	зварухнуўся
лразаікаў	празаікаў
Талгтога	Талстога
пытань	пытаць
Праэаічныя	Празаічныя
становішч	станавішч
пісьменніпкіх	пісьменніцкіх
ііепасрэднай	непасрэднай
эаконным	законным
блаэнюк	блазнюк
неабгрунтавяныя	неабгрунтаваныя
няўням	няўцям
непагрэднасцю	непасрэднасцю
гавярылі	гаварылі
падзяляюпь	падзяляюць
яядзецца	вядзецца
аыбару	выбару
аркестрааымі	аркестравымі
засТалігя	засТаліся
выклікяе	выклікае
капігуляцыяй	капітуляцыяй
пяхотнаіі	пяхотнай
загтануцца	застануцца
злоўжывлюць	злоўжываюць
палітычцыя	палітычныя
перадсмярогны	перадсмяротны
іскуючыя	існуючыя
прысутнічола	прысутнічала
аднавяскоаец	аднавясковец
чалапечага	чалавечага
1снаванне	існаванне
Мастацнія	Мастацкія
аадуменнага	задуменнага
успвміны	успаміны
хуценькз	хуценька
снецыяльнасці	спецыяльнасці
з'еэдах	з'ездах
часгкай	часткай
плкояў	пакояў
Крывііікага	Крывіцкага
аб'ектмўна	аб'ектыўна
скардзіцця	скардзіцца
сезонё	сезоне
прыдбань	прыдбаць
рздкая	рэдкая
пралугледжвае	прадугледжвае
вызнвчаны	вызначаны
самаалданую	самаадданую
наказвас	наказвае
плзбавіцца	пазбавіцца
гвліну	галіну
склалалася	складалася
прмходзілі	прыходзілі
сцэнічняе	сцэнічнае
гасчным	гаечным
яавалі	завалі
лгітбрыгады	агітбрыгады
пздымаць	падымаць
ітнаграфіі	этнаграфіі
тарантуе	гарантуе
дэмянструе	дэманструе
пачыпаецца	пачынаецца
пайлепшай	найлепшай
запяршаючым	завяршаючым
еалістаў	салістаў
зпычаяў	звычаяў
патрымяў	патрымаў
нрынцыпу	прынцыпу
саўтасы	саўгасы
ахвяраіі	ахвярай
прысуджэннс	прысуджэнне
ілэалагічных	ідэалагічных
артЫсгы	артЫсты
скардзілагя	скардзілася
мацлванне	мацаванне
стварвльнікі	стваральнікі
Неўзабане	Неўзабаве
сугтрэцца	сустрэцца
Значпая	Значная
хустклй	хусткай
Волкзва	Волкава
заняпалв	заняпала
яўтакрама	аўтакрама
гувязь	сувязь
навучальцых	навучальных
вернецна	вернецца
дакладчмк	дакладчык
гсаграфічную	геаграфічную
камітатн	камітаты
школьнагл	школьнага
самядзейны	самадзейны
наглялаць	наглядаць
хяалямі	хвалямі
пвляны	паляны
авялодаць	авалодаць
прадлў	прадаў
прмватнай	прыватнай
бальшааікамі	бальшавікамі
падчзпіў	падчапіў
прадугледжаае	прадугледжвае
выстлўка	выстаўка
надрыхтоўцы	падрыхтоўцы
кінастулыю	кінастудыю
Камуністычнзй	Камуністычнай
Выдатнвя	Выдатная
навучнў	навучыў
удзепе	удзеле
вяснушнамі	вяснушкамі
раптоўнаснь	раптоўнасць
ламагліся	дамагліся
актыўнеіі	актыўней
клсцёла	касцёла
лрапісцы	прапісцы
вясноаых	вясновых
узнімаюшіа	узнімаюцца
выіірабаванне	выпрабаванне
Брэгцкі	Брэсцкі
арксстраваць	аркестраваць
кяртэж	картэж
аырашаць	вырашаць
гутарань	гутараць
аыкладчык	выкладчык
рэакцыйныа	рэакцыйныя
запалох	запалах
Інгарэсамі	Інтарэсамі
маштлбе	маштабе
студзёні	студзені
пямочнікам	памочнікам
псрагавораў	перагавораў
нацыяняльнай	нацыянальнай
ядважыўся	адважыўся
кансервагорыю	кансерваторыю
паўголаса	паўголага
гаспалыня	гаспадыня
прнроду	прыроду
спадзяваццз	спадзявацца
яліваецца	зліваецца
лначны	значны
адкрмлася	адкрылася
паведлмлялася	паведамлялася
тэмвтычных	тэматычных
удзелькікаў	удзельнікаў
эмрочнай	змрочнай
эпігрвмы	эпіграмы
зоворвання	заворвання
плртызанскія	партызанскія
ііаэтычныя	паэтычныя
ударпік	ударнік
заычайная	звычайная
мастаь	мастак
кіраўніь	кіраўнік
прадказоў	прадказаў
пеіізажных	пейзажных
прнчынах	прычынах
здзяйсняс	здзяйсняе
подзаіг	подзвіг
армгінальнай	арыгінальнай
аперлтыўна	аператыўна
выконпалася	выконвалася
страгэгіі	стратэгіі
праяілам	правілам
пачзлі	пачалі
датзрмінова	датэрмінова
алчуваліся	адчуваліся
раамешчаны	размешчаны
псравыдадзены	перавыдадзены
пасажырекім	пасажырскім
абласпям	абласцям
пвкінуўшы	пакінуўшы
аўтобусзмі	аўтобусамі
пытаюнца	пытаюцца
пастааішся	паставішся
булоўлях	будоўлях
магутнлй	магутнай
літарагурнымі	літаратурнымі
заыятага	занятага
Сусгрэўся	Сустрэўся
драбільнач	драбільнае
Прадукныя	Прадукцыя
Кнеткі	Кветкі
чарняжамі	чарцяжамі
кзнструкцый	канструкцый
карысліаых	карыслівых
раэладжанай	разладжанай
нарысістзў	нарысістаў
пахолах	паходах
пралуманая	прадуманая
саныяльны	сацыяльны
праходзлць	праходзіць
Казлоўгкі	Казлоўскі
люгуюць	лютуюць
вечнле	вечнае
Сялянпы	Сялянцы
абылгань	абылгаць
нлведвальнікі	наведвальнікі
падкрэслінаючы	падкрэсліваючы
уварвань	уварваць
адлаведны	адпаведны
абыякаяа	абыякава
драбязнасці	дробязнасці
высакародпасць	высакароднасць
звонкан	звонкай
рлманы	раманы
нраграмай	праграмай
разлучвліся	разлучаліся
усмешна	усмешка
цяжкаснях	цяжкасцях
рэданцыя	рэдакцыя
леталіс	летапіс
служвчыя	служачыя
страснзсцю	страснасцю
невялікаіі	невялікай
Мінскз	Мінска
Звканчэнне	Заканчэнне
црыйсці	прыйсці
нрасторную	прасторную
всрачы	верачы
прадэманстрааалі	прадэманстравалі
усклікас	усклікае
Белярускаму	Беларускаму
наказацца	паказацца
з'яўлясмся	з'яўляемся
алышла	адышла
тмцнуў	тыцнуў
выкладзла	выкладала
сллўнай	слаўнай
зявалу	завалу
свнтым	сантым
лрганізаваная	арганізаваная
спеныялізаванага	спецыялізаванага
анрацаваны	апрацаваны
снлаве	сплаве
намандамі	камандамі
пзлатна	палатна
Сврдэчна	Сардэчна
Насіль	Нясіль
рэканструяааны	рэканструяваны
нааедваюць	наведваюць
суплкой	супакой
выступлеііні	выступленні
іішках	лішках
рвянуўся	рвануўся
галаслвалі	галасавалі
трапілагя	трапілася
захядзе	захадзе
пвдпісным	падпісным
пабудаванв	пабудавана
аакрыццё	закрыццё
Крытычпыя	Крытычныя
сярваў	сарваў
поепехаў	поспехаў
польсквй	польскай
Апладысмепты	Апладысменты
гяворка	гаворка
Забсспячэнца	Забеспячэнца
плдаць	падаць
будугцца	будуецца
спатканнч	спатканне
дзекябрыста	дзекабрыста
паплсчнікі	паплечнікі
умацоўвяе	умацоўвае
лаўрэатзм	лаўрэатам
таліне	галіне
калечтывамі	калектывамі
нрынясуць	прынясуць
эаможнай	заможнай
Мііога	Многа
сустрзўся	сустрэўся
Водзянь	Водзяць
Мінека	Мінска
прыэямленне	прызямленне
зпачыліся	значыліся
неруючым	веруючым
Бяссмергная	Бяссмертная
лбласных	абласных
лсзуць	лезуць
пвдтрымку	падтрымку
апуснілася	апусцілася
Папаца	Палаца
фотажурнллістаў	фотажурналістаў
аьтыўных	актыўных
завяэвацца	завязвацца
Анінай	Апінай
паліклініь	паліклінік
нлпільнік	напільнік
частра	кастра
вызначаюнца	вызначаюцца
абааязвае	абавязвае
індустрыяльнлга	індустрыяльнага
ладманлівая	падманлівая
прыходзяпь	прыходзяць
чарцёжняй	чарцёжнай
Мацюка	Манюка
ллёнцы	плёнцы
абагульненыя	абагульнення
яітрыны	вітрыны
Крупсклй	Крупскай
заціхаюнь	заціхаюць
пасаблю	пасоблю
плперамі	паперамі
літаратуркыя	літаратурныя
заспявзе	заспявае
захаплепня	захаплення
эдрыганулася	здрыганулася
Пальцн	Пальцы
пяплей	цяплей
электралаільныя	электрадаільныя
радыёп'ссы	радыёп'есы
здрадя	здрада
адмовяпь	адмовяць
алпусцілі	адпусцілі
меркаванііем	меркаваннем
нафтапсрагонны	нафтаперагонны
дзяціпства	дзяцінства
нлстрою	настрою
даламога	дапамога
уласці	упасці
эцюлах	эцюдах
цёмнмх	цёмных
перлпіскі	перапіскі
пяртыйнасці	партыйнасці
змерыканскія	амерыканскія
іенныя	ленныя
раскагвае	раскатвае
кансчная	канечная
аснашчаныя	аснашчання
рзжысёра	рэжысёра
далучылігя	далучыліся
гллоўныя	галоўныя
прыгутнічалі	прысутнічалі
ііедарэчна	недарэчна
лдправіў	адправіў
Каўкаг	Каўкае
медыцынскцю	медыцынскаю
аіітымастацкай	антымастацкай
расчаравлла	расчаравала
працягваля	працягвала
ніякяй	ніякай
панажае	паважае
хлеблм	хлебам
сялдату	салдату
Ламанік	Ламавік
абяцлюць	абяцаюць
мехакізацыі	механізацыі
жыпёлаводамі	жывёлаводамі
насыцінь	насыціць
Чярнышоў	Чарнышоў
рэзанангную	рэзанансную
кровацячэннс	кровацячэнне
нрышталю	крышталю
стлронка	старонка
некавыя	векавыя
нелабітак	недабітак
стаповішча	становішча
аддляленне	аддзяленне
рэжыеёрам	рэжысёрам
руйнуюнь	руйнуюць
адказнагз	адказнага
царсні	царскі
плстаноў	пастаноў
штодзённв	штодзённа
аб'яднлння	аб'яднання
адрэкаменлаваліся	адрэкамендаваліся
мінчапе	мінчане
эгарэла	згарэла
галалоўкі	галадоўкі
мяркуеццв	мяркуецца
Салапей	Салавей
нспісьменна	непісьменна
пвдсудных	падсудных
вонкаван	вонкавай
жалулы	жалуды
эахапляўся	захапляўся
Прлцуем	Працуем
адбыванца	адбывацца
пвдумайце	падумайце
Выратаяаны	Выратаваны
здзяйснясм	здзяйсняем
часолісаў	часопісаў
пісьменнііі	пісьменніц
многананыянальнага	многанацыянальнага
прымаўны	прымаўцы
Салданкіх	Салдацкіх
фзкультэт	факультэт
Руеака	Русака
ііастаўніца	настаўніца
аўтзномных	аўтаномных
метолыкі	методыкі
Прыпаў	Прыпяў
учыпкаў	учынкаў
лаконам	законам
заўважаенца	заўважаецца
нспаўторнае	непаўторнае
вайнон	вайной
матараў	матораў
калгаснікзмі	калгаснікамі
тэхііікумах	тэхнікумах
пытату	цытату
раэдольна	раздольна
апавяданіія	апавядання
Заезны	Заезды
вязанан	вязанай
аўтарм	аўтары
апервтар	аператар
глліне	галіне
факультэпе	факультэце
аўтабаэ	аўтабаз
Адбсгшыся	Адбегшыся
забяспсчыў	забяспечыў
прывоэіцца	прывозіцца
Прмйшлі	Прыйшлі
Мастацкагв	Мастацкага
ратавашіа	ратавацца
вытыркнс	вытыркне
лаўрэзт	лаўрэат
сямадзейным	самадзейным
заслоняпь	заслоняць
Зяключныя	Заключныя
дзсяслова	дзеяслова
тыгячамі	тысячамі
рэалістмчнага	рэалістычнага
высоканрадукцыйнага	высокапрадукцыйнага
несная	цесная
заычайна	звычайна
патрабввання	патрабавання
эварваючы	зварваючы
эламалі	зламалі
гтаўлення	стаўлення
плення	паення
пераўтварэпня	пераўтварэння
крэслс	крэсле
Дынамв	Дынама
Кісялёван	Кісялёвай
Іванаўца	Іванаўна
фармзцэЎтычнай	фармацэЎтычнай
спячэнні	свячэнні
скаванан	скаванай
супастлўлення	супастаўлення
нервовлй	нервовай
падлавацца	паддавацца
пустазсллем	пустазеллем
сёлетняс	сёлетняе
Вуліпы	Вуліцы
чырвоналрмейцам	чырвонаармейцам
рэчаіснлсцю	рэчаіснасцю
аыяўленчаму	выяўленчаму
Лсніным	Леніным
надзейнан	надзейнай
канструкныяй	канструкцыяй
вылускае	выпускае
поСнаспю	поСнасцю
карыстлюцца	карыстаюцца
блгацце	багацце
наподную	наводную
ЗаканалаЎства	ЗаканадаЎства
закранапь	закранаць
цяжкагцей	цяжкасцей
трапнаснь	трапнасць
бліжэншага	бліжэйшага
усесвюзнай	усесаюзнай
ясноўныя	асноўныя
прыкідваюшіа	прыкідваюцца
Аказалвся	Аказалася
наллджаны	наладжаны
квстку	кветку
пвперы	паперы
тэлсфонных	тэлефонных
знаходяіць	знаходзіць
чзмпіянат	чэмпіянат
мвстацкая	мастацкая
маскоўскагя	маскоўскага
пяплечніка	паплечніка
флбрычны	фабрычны
ледагагічным	педагагічным
Дэлеганыя	Дэлегацыя
лазнаёміцца	пазнаёміцца
чыгуначнлга	чыгуначнага
плліцэйскага	паліцэйскага
палымянлга	палымянага
перабулова	перабудова
манаііолій	манаполій
Іпанавіча	Іванавіча
нявядуць	навядуць
зястаюцца	застаюцца
паспень	паспець
гзварылася	гаварылася
друкавлліся	друкаваліся
апавядапняў	апавяданняў
нвмаганняў	намаганняў
Шчасцс	Шчасце
адііагодках	аднагодках
Кястусь	Кастусь
захопнікямі	захопнікамі
бюджзту	бюджэту
кваліфіканыю	кваліфікацыю
Ашмяпскага	Ашмянскага
бяскрыўлных	бяскрыўдных
клхання	кахання
алумаюцца	адумаюцца
трлпляюць	трапляюць
нытаешся	пытаешся
стварвліся	ствараліся
кінаматэрыялвмі	кінаматэрыяламі
дзённікв	дзённіка
удзельніні	удзельнікі
Няпішыце	Напішыце
зямііых	зямных
падыходзячае	надыходзячае
плказе	паказе
аышэйшую	вышэйшую
Паэнаць	Пазнаць
жахзмі	жахамі
Недачытанвя	Недачытаная
скардзяшіа	скардзяцца
задумвашіа	задумвацца
нсвялічкі	невялічкі
запаветнаіі	запаветнай
умацаванн	умацаваны
дзяржаўпых	дзяржаўных
назірасм	назіраем
звычлйныя	звычайныя
сканцэнтрввала	сканцэнтравала
Школьнікя	Школьніка
сельскагаспаларчы	сельскагаспадарчы
непсраможная	непераможная
збаланслваць	збалансаваць
нватэр	кватэр
яерасень	верасень
залрашала	запрашала
злймае	займае
змагвцца	змагацца
склвдваліся	складваліся
налатках	палатках
апрацоўні	апрацоўкі
дэпугацкіх	дэпутацкіх
нрагна	прагна
спечтакль	спектакль
млйстраМІ	майстраМІ
майстзрні	майстэрні
накіраввлі	накіравалі
раёкная	раённая
чапаюнь	чапаюць
Даўглрукаму	Даўгарукаму
капіталістычвых	капіталістычных
Багдановіка	Багдановіча
гучаііня	гучання
Рэснубліканскі	Рэспубліканскі
пвгражалі	пагражалі
вырабляюццл	вырабляюцца
Алчыніў	Адчыніў
перажыяанняў	перажыванняў
суладнаснь	суладнасць
млсавую	масавую
палымацца	падымацца
перавяэвае	перавязвае
з'яўляццз	з'яўляцца
экспанаааліся	экспанаваліся
кампрзмісы	кампрамісы
корпацця	корпацца
Нспрыкметна	Непрыкметна
рлспраўляў	распраўляў
лопасцца	лопаецца
цразмерна	празмерна
садаіцца	садзіцца
шпарнім	шпаркім
невяломым	невядомым
скачзла	скачала
тнанін	тканін
спсцыяльным	спецыяльным
здагадаешіа	здагадаецца
Найбаганейшы	Найбагацейшы
лбаронцах	абаронцах
твлйго	твайго
взжнасці	важнасці
панялічваецца	павялічваецца
скакнула	скокнула
аысыпаюць	высыпаюць
акуніраванай	акупіраванай
аўтабіяграфічнзга	аўтабіяграфічнага
ад'яэджаў	ад'язджаў
нулныя	нудныя
дакллдаў	дакладаў
неэалежнасць	незалежнасць
гумзрам	гумарам
нарадлх	нарадах
канчатковв	канчаткова
эахопнікі	захопнікі
Барысане	Барысаве
магаліся	маталіся
вінавацінь	вінаваціць
большве	большае
квнкурэнта	канкурэнта
ласледчыкі	даследчыкі
варштатм	варштаты
акупацыйняга	акупацыйнага
асаргымент	асартымент
парэкаменлаваць	парэкамендаваць
ворагэ	ворагі
альбомц	альбома
паспешлівлсці	паспешлівасці
нагадвас	нагадвае
лераадольваць	пераадольваць
актывізавлць	актывізаваць
праяны	праявы
алпраўлялі	адпраўлялі
Ксёнда	Ксёндз
Даподзіцца	Даводзіцца
гсраічнымі	гераічнымі
Асяролак	Асяродак
втРымліваў	атРымліваў
паняцне	паняцце
мзленькая	маленькая
прзпануе	прапануе
удзельніча	удзельніка
гправамі	справамі
Нспадалёку	Непадалёку
Разяіццё	Развіццё
хромалітографам	хромалітаграфам
пведуць	паедуць
разгортваюііь	разгортваюць
паходжлнне	паходжанне
прыкмстамі	прыкметамі
нерапісвалі	перапісвалі
ацэкак	ацэнак
нолучаю	налучаю
пыкрываць	выкрываць
чаргоаага	чарговага
прыўзнятаспь	прыўзнятасць
брыгадзірл	брыгадзіра
класіны	класіцы
Укрзіны	Украіны
снедка	сведка
псрадае	перадае
выкярыстаў	выкарыстаў
раэраднікаў	разраднікаў
абслугоўвлюць	абслугоўваюць
экзаменаныйнай	экзаменацыйнай
агаролы	агароды
стпораныя	створаныя
нрыхільнікаў	прыхільнікаў
клічуаь	клічуць
берасняныя	берасцяныя
дваццяці	дваццаці
стзрыя	старыя
прабачынь	прабачыць
фунікулёрв	фунікулёра
дазвольне	дазвольце
юнацтпа	юнацтва
свосасаблівае	своеасаблівае
ацзнку	ацэнку
дарлгія	дарагія
ііераканаўся	пераканаўся
Рвзмова	Размова
праясняецця	праясняецца
раённнм	раённым
перадаяыя	перадавыя
кульгурай	культурай
хвзлявання	хвалявання
влртасць	вартасць
нускаў	пускаў
Штодзенна	Штодзённа
бяснрыкладнага	бяспрыкладнага
ідэнны	ідэйны
самалюбапаннем	самалюбаваннем
арганізапанае	арганізаванае
палкажа	падкажа
літлратурны	літаратурны
міжнароднмх	міжнародных
шматтыражкэ	шматтыражкі
гонкім	тонкім
дапосіцца	даносіцца
беларусач	беларусак
памнаж	памнож
подлвіг	подзвіг
таднага	таннага
зоўтрашнія	заўтрашнія
музмчнай	музычнай
адкрываюнь	адкрываюць
снрытнюгі	спрытнюгі
мвгутную	магутную
пысакародным	высакародным
росчырн	росчырк
культасветустапоў	культасветустаноў
рукалісаў	рукапісаў
рознахарактарнмх	рознахарактарных
магісгралі	магістралі
гармвт	гармат
Стэфлн	Стэфан
каартэт	квартэт
выходзіцк	выходзіць
нравапісам	правапісам
Полацкагя	Полацкага
сіктэтычнага	сінтэтычнага
фракныянераў	фракцыянераў
Іванааіч	Іванавіч
каннэртнымі	канцэртнымі
з'яЎляеццл	з'яЎляецца
ларушэннях	парушэннях
няпомніць	напомніць
паўствваў	паўставаў
маіістэрань	майстэрань
бруслх	брусах
ладнялася	паднялася
цярпліваснь	цярплівасць
нрафсаюзы	прафсаюзы
карапь	караць
рацыян	рацыяй
спяшяюся	спяшаюся
выдвтнага	выдатнага
калгаеы	калгасы
абзроны	абароны
брлшур	брашур
прмслухоўваецца	прыслухоўваецца
пралётарскага	пралетарскага
нросіце	просіце
эаправілы	заправілы
налічааецца	налічваецца
гэкстам	тэкстам
фотазлымкаў	фотаздымкаў
даручанв	даручана
лаўважылі	заўважылі
ўважліяа	ўважліва
пыкарыстоўвалі	выкарыстоўвалі
тэхііікумаў	тэхнікумаў
Плмятныя	Памятныя
гідрвтэхнічных	гідратэхнічных
нсзавершаным	незавершаным
адзіняборства	адзінаборства
прылумваюць	прыдумваюць
расказвяў	расказваў
рачніні	рачнікі
невервгодная	неверагодная
ствараенца	ствараецца
сллвян	славян
троілі	траілі
іістапада	лістапада
абнаўлясцца	абнаўляецца
раэумнае	разумнае
тзматычныя	тэматычныя
інстытутз	інстытута
ліпсні	ліпені
славугы	славуты
п'егах	п'есах
тэатрлльных	тэатральных
экснартнага	экспартнага
Апбаніі	Албаніі
вылучле	вылучае
выстаўквх	выстаўках
кянцоўку	канцоўку
недярэчнасці	недарэчнасці
магілёўскан	магілёўскай
грацмя	грацыя
нвдзённасці	надзённасці
качных	начных
маляверагодным	малаверагодным
прыгажогць	прыгажосць
райаыканкома	райвыканкома
нрапаганды	прапаганды
электрагэхнікі	электратэхнікі
дакладнл	дакладна
натрэбных	патрэбных
энтузіялмам	энтузіязмам
непада	невада
Цікаяая	Цікавая
згвалтавань	згвалтаваць
УэРУшылі	УзРУшылі
знаходяяць	знаходзяць
Вечарном	Вечарком
існіну	ісціну
васншчыны	ваеншчыны
арганіяацыям	арганізацыям
вучаніпу	вучаніцу
ябудаванне	збудаванне
намбайн	камбайн
мяшчанскяга	мяшчанскага
Склалальнікі	Складальнікі
разорваць	разарваць
канакня	канання
првгучаў	прагучаў
рукапісм	рукапісы
заводзмі	заводамі
звяркуць	звярнуць
кллгасныя	калгасныя
пупктамі	пунктамі
раэуменне	разуменне
характарысгыка	характарыстыка
звяртаўея	звяртаўся
тапочках	тапачках
выетупаюць	выступаюць
пуцеўцы	пуцёўцы
главіўся	славіўся
прантычныя	практычныя
Рззмова	Размова
папрааак	паправак
натхнёнлй	натхнёнай
адкрываюцііа	адкрываюцца
Пзрыжы	Парыжы
првцую	працую
кллсічных	класічных
Аэіраючыся	Азіраючыся
дружбм	дружбы
сённяшпяму	сённяшняму
хатчай	хаткай
нарыбачыць	парыбачыць
палводы	падводы
жанчнна	жанчына
Анятомія	Анатомія
клнструктыўных	канструктыўных
нылучыць	вылучыць
Радзімыа	Радзімыя
нытрымаў	вытрымаў
апошнягя	апошняга
неплыню	цеплыню
лказалася	аказалася
здвбыткам	здабыткам
даслсдаванне	даследаванне
пябляк	пабляк
галоСкІ	галаСкІ
раскззваюць	расказваюць
лэмабілізаваўся	дэмабілізаваўся
шкодзянь	шкодзяць
Несаерка	Несцерка
рэвялюцыянерах	рэвалюцыянерах
фотвілюстрацыі	фотаілюстрацыі
таленавітагл	таленавітага
захаааліся	захаваліся
впублікавана	апублікавана
Боравым	Баравым
элавілі	злавілі
аодарасцях	водарасцях
пераўэброены	пераўзброены
прыняііь	прыняць
пакідвлі	пакідалі
знянажу	зняважу
кірмлшу	кірмашу
возінь	возіць
паднімашіа	паднімацца
кінешіа	кінецца
драмагычнага	драматычнага
ядкрыцця	адкрыцця
вялікзе	вялікае
нрацоўную	працоўную
лошках	дошках
каскаднан	каскаднай
лактары	дактары
Сівіца	Сініца
паперм	паперы
выкарнстоўваць	выкарыстоўваць
Мікалаеўня	Мікалаеўна
скармла	скарыла
алпушчаны	адпушчаны
выстунаючы	выступаючы
выніквюць	вынікаюць
нераауменне	неразуменне
шалеюнь	шалеюць
раэбірацца	разбірацца
апісань	апісаць
лэмакратычных	дэмакратычных
адваган	адвагай
пырашаць	вырашаць
Ствараешіа	Ствараецца
многве	многае
бібліятэклх	бібліятэках
Бялінгкага	Бялінскага
нраславіць	праславіць
прыгхаў	прыехаў
яместу	зместу
кайках	чайках
Прывіл	Прывід
трымальііікі	трымальнікі
пачынвючых	пачынаючых
Брыгадяір	Брыгадзір
верхалаэ	верхалаз
дапзмагаць	дапамагаць
сярздняя	сярэдняя
роднле	роднае
Скліканыя	Склікання
лрыгледзеўся	прыгледзеўся
Адраджэвня	Адраджэння
каснюма	касцюма
гаснях	гасцях
накіроўваюцііа	накіроўваюцца
развіввліся	развіваліся
беларуекую	беларускую
тэатрзмі	тэатрамі
плказу	паказу
працздзён	працадзён
Выдзтная	Выдатная
наэначыў	назначыў
медсвнбаце	медсанбаце
лотнай	латнай
споеасаблівы	своеасаблівы
імгпенне	імгненне
нрыніц	крыніц
камсль	камель
неабхолнасці	неабходнасці
нрыгожая	прыгожая
заслужанм	заслужаны
тапараабарот	тавараабарот
Тарасе	Таросе
разбурзльнай	разбуральнай
цікавнм	цікавым
тэатралькай	тэатральнай
ярнага	яркага
каведвальнікаў	наведвальнікаў
абстапоўкі	абстаноўкі
выяўлепчых	выяўленчых
апалодвання	авалодвання
накіраналі	накіравалі
почырквм	почыркам
Турцмі	Турамі
ныходзіў	выходзіў
Гронам	Гранам
влр'яцкі	вар'яцкі
зарубсжнага	зарубежнага
ныпадках	выпадках
еастарэлых	састарэлых
дрэваапрацоўчаіі	дрэваапрацоўчай
някіроўваемся	накіроўваемся
снехам	спехам
Вінтоўкз	Вінтоўка
супыніаь	супыніць
ларадкаў	парадкаў
яабітага	забітага
эакрываюць	закрываюць
мерапрыгмствы	мерапрыемствы
эмагання	змагання
простзлінейна	просталінейна
эаЦверджаны	заЦверджаны
трымве	трымае
барапьбой	барацьбой
гаснадарам	гаспадарам
пражыцця	пражыцца
умопай	умовай
закупінь	закупіць
паладжаным	наладжаным
чэраені	чэрвені
зяўвагамі	заўвагамі
кінаапаяядання	кінаапавядання
разгубіпца	разгубіцца
літосці	літасці
матчмных	матчыных
вынрабавання	выпрабавання
схілілаея	схілілася
палбародак	падбародак
нніжачкі	кніжачкі
могцік	мосцік
пзездкі	паездкі
нрыладамі	прыладамі
длстойную	дастойную
радвсным	радасным
Лічвць	Лічаць
забонца	забойца
уласпых	уласных
нагляднан	нагляднай
прадіірыемствы	прадпрыемствы
стылісгычнай	стылістычнай
сродлк	сродак
Ашмянснага	Ашмянскага
непвразумення	непаразумення
Канькабежап	Канькабежац
сііроба	спроба
длслаць	даслаць
гвтовых	гатовых
выдлдзены	выдадзены
алешпіку	алешніку
падтрымлны	падтрыманы
антымістычны	аптымістычны
пазбаяіцца	пазбавіцца
аўднторыяй	аўдыторыяй
стрвціла	страціла
спякотпыя	спякотныя
шчаглівай	шчаслівай
буржуязнага	буржуазнага
сочапь	сочаць
халодпы	халодны
пагтанавіў	пастанавіў
хялодным	халодным
рэаалюцыйных	рэвалюцыйных
афлрызмы	афарызмы
культурнм	культурны
значэііне	значэнне
