аба-в€залас€	абав€залас€
маствцк≥м	мастацк≥м
мастанк≥х	мастацк≥х
ма-стацк≥х	мастацк≥х
мастац-к≥х	мастацк≥х
маствцк≥х	мастацк≥х
млстацк≥х	мастацк≥х
мастанк≥€	мастацк≥€
ма-стацк≥€	мастацк≥€
мастац-к≥€	мастацк≥€
масгацтва	мастацтва
маста≥≥тва	мастацтва
мастантва	мастацтва
мас-тантва	мастацтва
мастаптва	мастацтва
мастацтаа	мастацтва
мастац-таа	мастацтва
ма-стацтва	мастацтва
мас-тацтва	мастацтва
мастац-тва	мастацтва
мастацт-ва	мастацтва
мастацтва*	мастацтва
мастацтвв	мастацтва
мастацтв€	мастацтва
мастацтпа	мастацтва
мастацт€а	мастацтва
маствцтва	мастацтва
маствцтвв	мастацтва
мастлцтва	мастацтва
мзстацтва	мастацтва
м€стацтва	мастацтва
мастантвам	мастацтвам
мастацтвг	мастацтве
мастац-тве	мастацтве
мастацтвс	мастацтве
мастацтпе	мастацтве
матэры€-лам	матэры€лам
ма-тэры€лаҐ	матэры€лаҐ
ма-тэры€ле	матэры€ле
ма-тэры€лу	матэры€лу
матзрь≥€-лы	матэры€лы
матэры€-лы	матэры€лы
мвтэры€лы	матэры€лы
матэры€ль-най	матэры€льнай
матэры€льнатэхн≥чнай	матэры€льна-тэхн≥чнай
матэ-ры€льную	матэры€льную
матэ-ры€льны€	матэры€льны€
матэры-€льны€	матэры€льны€
ма-ц≥	мац≥
млц≥	мац≥
ма-шын	машын
ма-шына	машына
ма-шынабудаванн€	машынабудаванн€
машы-ну	машыну
маю≥≥ь	маюць
маюнь	маюць
ма-юць	маюць
мвюць	маюць
мв€	ма€
ма€коҐска-га	ма€коҐскага
медалем	медалЄм
мсжам≥	межам≥
ме-жах	межах
мсжах	межах
ме-л≥	мел≥
мело-ды€	мелоды€
мера-прыемства	мерапрыемства
ме-рапрыемствы	мерапрыемствы
мерапрысмствы	мерапрыемствы
ме-рах	мерах
меркавань	меркаваць
мерка-ваць	меркаваць
ме-ры	меры
мсры	меры
месна	месца
меспа	месца
ме-сца	месца
мес-ца	месца
месцв	месца
месцл	месца
месц€	месца
мссца	месца
мес-цам	месцам
месцанара-джэнн€Ґ	месцанараджэнн€Ґ
мес-цах	месцах
мсс-цах	месцах
меспы	месцы
мес-цы	месцы
мс-с€ц	мес€ц
мес€ны	мес€цы
ме-с€цы	мес€цы
ме-тадам	метадам
мета-дам	метадам
мстадаҐ	метадаҐ
мета-лаҐ	металаҐ
мета-л≥ст	метал≥ст
метрл	метра
мстра	метра
мвтраҐ	метраҐ
метрлҐ	метраҐ
мстраҐ	метраҐ
мст-раҐ	метраҐ
ме-хан≥зацы≥	механ≥зацы≥
механ≥эмаҐ	механ≥змаҐ
Ћ\нннстерства	ћинистерства
ћмннстерства	ћинистерства
ћнннстврства	ћинистерства
ћнннстерсгва	ћинистерства
мнннстерства	министерства
ћнннстерствв	ћинистерства
ћнннстсрства	ћинистерства
м1	м≥
м≥жна-родным	м≥жнародным
м≥жна-родных	м≥жнародных
м≥-калай	м≥калай
м≥ка-лай	м≥калай
м≥-к≥та	м≥к≥та
м≥к≥-та	м≥к≥та
м≥-к≥ту	м≥к≥ту
ћ≥кол€	ћ≥кола
ћ≥копа	ћ≥кола
м≥ль-ЄнаҐ	м≥льЄнаҐ
м≥льЄ-наҐ	м≥льЄнаҐ
м≥ль-Єны	м≥льЄны
м≥льЄ-ны	м≥льЄны
м≥ль-€рды	м≥ль€рды
м≥-ма	м≥ма
м≥н≥ст-ра	м≥н≥стра
≥н≥ст-раҐ	м≥н≥страҐ
м≥н≥-страҐ	м≥н≥страҐ
м≥н≥ст-раҐ	м≥н≥страҐ
м≥н≥-стэрства	м≥н≥стэрства
м≥н≥с-тэрства	м≥н≥стэрства
м≥н≥стэр-ства	м≥н≥стэрства
ћ≥н≥стэрствв	ћ≥н≥стэрства
ћ≥н≥стэрствл	ћ≥н≥стэрства
Ћ\≥нск	ћ≥нск
ћ≥≥≥ск	ћ≥нск
ћ≥нек	ћ≥нск
мннск	м≥нск
л≥≥н-ска	м≥нска
м≥н-ска	м≥нска
ћ≥нск€	ћ≥нска
ћ≤нскага	ћ≥нскага
м≥н-скага	м≥нскага
ћ≥нскагв	ћ≥нскага
ћ≥нскан	ћ≥нскай
ћ≥нсквй	ћ≥нскай
ћ≥нск≤	ћ≥нск≥
м≥н-ску	м≥нску
м≥му-лага	м≥нулага
м≥-нулага	м≥нулага
м≥ну-лага	м≥нулага
м≥нулаг€	м≥нулага
м≥нулас	м≥нулае
м≥-нулым	м≥нулым
м≥ну-лым	м≥нулым
м≥пулым	м≥нулым
м≥-нут	м≥нут
м≥-нуту	м≥нуту
м≥-нуты	м≥нуты
м≥ну-ты	м≥нуты
м≥ран-коҐ	м≥ранкоҐ
м≥рна-га	м≥рнага
м≥р-нае	м≥рнае
м≥-ров≥ч	м≥ров≥ч
ћ≤ронавым	ћ≥ронавым
м≥-ру	м≥ру
ћ≤ха≤л	ћ≥ха≥л
м≥-ха≥л	м≥ха≥л
м≥хай-лав≥ч	м≥хайлав≥ч
м≥-хась	м≥хась
м≥цке-в≥ч	м≥цкев≥ч
м≥ц-кев≥ча	м≥цкев≥ча
ћ≥цксв≥ча	ћ≥цкев≥ча
мнс	мне
мно-га	многа
мног€	многа
мпога	многа
мно-гае	многае
многас	многае
многана-цы€нальнай	многанацы€нальнай
м≥≥ог≥х	мног≥х
мно-г≥х	мног≥х
Ћ≥ног≥€	мног≥€
мно-г≥€	мног≥€
мо-вах	мовах
моае	мове
мо-ве	мове
мовс	мове
моау	мову
мо-ву	мову
моаы	мовы
могунь	могуць
могупь	могуць
мо-гуць	могуць
мвдных	модных
мо-жа	можа
можв	можа
можл	можа
ћож€	ћожа
мож€	можа
мо-ж€	можа
мо-жна	можна
мож-на	можна
можнв	можна
можн€	можна
моладдэю	моладдзю
молалдзю	моладдзю
мола-дз≥	моладз≥
моладэ≥	моладз≥
молалз≥	моладз≥
молвдз≥	моладз≥
мо-ладзь	моладзь
моладэь	моладзь
молвдэь	моладзь
мо-лвдэь	моладзь
моллдзь	моладзь
момлнт	момант
моман-ту	моманту
манстра	монстра
мо-ра	мора
моц-на	моцна
моцн€	моцна
моцна-га	моцнага
моц-на€	моцна€
муж-насц≥	мужнасц≥
мужнаснь	мужнасць
муж-насць	мужнасць
музс≥	музе≥
муэе≥	музе≥
муэей	музей
муэею	музею
муэе€	музе€
му-зе€х	музе€х
музе-€х	музе€х
ћуэыка	ћузыка
муэыкантаҐ	музыкантаҐ
музмк≥	музык≥
му-зык≥	музык≥
муэык≥	музык≥
муэы-к≥	музык≥
муэыку	музыку
музыны	музыцы
му-зыцы	музыцы
муэыцы	музыцы
музыч-нага	музычнага
муэычнага	музычнага
му-зычнай	музычнай
муэычнай	музычнай
му-эычнай	музычнай
му-зычную	музычную
муэычную	музычную
му-зычны	музычны
муэычны	музычны
муэычным	музычным
муэычным≥	музычным≥
муэычных	музычных
муэыч-ных	музычных
му-зычны€	музычны€
муэычны€	музычны€
му-раваны	мураваны
ћус≥нь	ћус≥ць
мус≥нь	мус≥ць
му-с≥ць	мус≥ць
м€-жу	м€жу
м€к-ка	м€кка
мннс	м€не
м€-не	м€не
м€нс	м€не
м€-нс	м€не
м€-са	м€са
м€с-ц≥ны	м€сц≥ны
м€сцо-вай	м€сцовай
на-адварот	наадварот
наадва-рот	наадварот
на-быҐ	набыҐ
навагруд-скага	навагрудскага
навагрудчы-не	навагрудчыне
наваколь-нага	навакольнага
нава-рыча	наварыча
нааат	нават
наваг	нават
на-ват	нават
навзт	нават
нав€т	нават
на€ат	нават
нлват	нават
навсдваюць	наведваюць
нааук	навук
на-вук	навук
нлвук	навук
нааук≥	навук≥
на-вук≥	навук≥
наву-к≥	навук≥
нввук≥	навук≥
нлвук≥	навук≥
навуповатзхн≥чна€	навукова-тэхн≥чна€
навуковатэхн≥чны	навукова-тэхн≥чны
на-вуковы€	навуковы€
на-вуку	навуку
на-вум	навум
на-вумов≥ч	навумов≥ч
нааучальных	навучальных
наву-чалы≥ых	навучальных
на-вучальных	навучальных
наву-чальных	навучальных
навучан-н€	навучанн€
нагл€д-ную	нагл€дную
н€д	над
над-звычай	надзвычай
надзвы-чай	надзвычай
надзвычан	надзвычай
н€дзвычай	надзвычай
надзЄн-ны	надзЄнны
на-дзею	надзею
на-дэею	надзею
на-друкаваны	надрукаваны
надрука-ваны	надрукаваны
на-зад	назад
назал	назад
наэад	назад
назаҐсЄ-ды	назаҐсЄды
на-эаҐсЄды	назаҐсЄды
наз-вай	назвай
наэваҐ	назваҐ
названь	назваць
назы-вае	называе
называс	называе
называе≥ша	называецца
найболын	найбольш
найболып	найбольш
най-больш	найбольш
н€йбольш	найбольш
найв€л≥к-шай	найв€л≥кшай
найв€л≥к-ша€	найв€л≥кша€
найв€л≥к-шых	найв€л≥кшых
найшы-рэйшы€	найшырэйшы€
нак≥рлваны	нак≥раваны
нак≥роҐ-ваюцца	нак≥роҐваюцца
нак≥роҐва-юць	нак≥роҐваюць
на-ладз≥ла	наладз≥ла
наладз≥нь	наладз≥ць
налгаса	налгала
належань	належаць
належынь	належыць
на-лежыць	належыць
нале-жыць	належыць
нвм	нам
нама-галас€	намагалас€
на-месн≥к	намесн≥к
намссн≥к	намесн≥к
наме-чаны	намечаны
на-м≥	нам≥
нлм≥	нам≥
на-перад	наперад
напсрад	наперад
нап≥-сал≥	нап≥сал≥
на-п≥санн≥	нап≥санн≥
нап≥сан-н€	нап≥санн€
нап≥-саны	нап≥саны
нап≥са-ны€	нап≥саны€
на-п≥саць	нап≥саць
нап≥-саць	нап≥саць
на-прамку	напрамку
напружа-най	напружанай
на-прыклад	напрыклад
напры-клад	напрыклад
напрык-лад	напрыклад
напрыклал	напрыклад
н€прыклад	напрыклад
напэҐ-на	напэҐна
нап€рэ-дадн≥	нап€рэдадн≥
нараджаец-ца	нараджаецца
на-ралжалас€	нараджалас€
нараджал≥-с€	нараджал≥с€
нараджзнн€	нараджэнн€
нара-джзнн€	нараджэнн€
нара-джэ≥≥н€	нараджэнн€
на-раджэнн€	нараджэнн€
нара-джэнн€	нараджэнн€
нараджэн-н€	нараджэнн€
на-радзе	нарадзе
на-радз≥лас€	нарадз≥лас€
нарадз≥-лас€	нарадз≥лас€
на-радз≥Ґс€	нарадз≥Ґс€
наралу	нараду
наралы	нарады
на-род	народ
нарол	народ
нврод	народ
на-рода	народа
наро-да	народа
народл	народа
нарола	народа
на-рола	народа
наро-ла	народа
нарпда	народа
нвродв	народа
нв-родв	народа
нвро-дв	народа
на-родам	народам
наро-дам	народам
наролам	народам
нвродвм	народам
на-родам≥	народам≥
на-родаҐ	народаҐ
наро-даҐ	народаҐ
наролаҐ	народаҐ
нвродаҐ	народаҐ
пародаҐ	народаҐ
на-родзе	народзе
народзс	народзе
на-роднага	народнага
народна-га	народнага
народнагз	народнага
народнагл	народнага
народнвга	народнага
народпага	народнага
наролнага	народнага
на-роднай	народнай
народ-най	народнай
народнан	народнай
Ќароднан	Ќароднай
народнвй	народнай
народнлй	народнай
наролнай	народнай
наролна€	народна€
народ-ную	народную
на-родны	народны
народ-ны	народны
наролны	народны
нлродны	народны
наролным	народным
на-родных	народных
наролных	народных
нлродных	народных
на-родны€	народны€
народ-ны€	народны€
наролны€	народны€
на-роды	народы
наро-ды	народы
на-рыс	нарыс
нврыс	нарыс
нв-рыс	нарыс
нары-саҐ	нарысаҐ
нарь≥-саҐ	нарысаҐ
на-рысе	нарысе
нарых-тоҐках	нарыхтоҐках
на-рэшце	нарэшце
нарэш-це	нарэшце
нарэшцс	нарэшце
нвс	нас
насе-в≥ч	насев≥ч
населы≥≥цтва	насельн≥цтва
насельн≥цтаа	насельн≥цтва
на-сельн≥цтва	насельн≥цтва
насельн≥ц-тва	насельн≥цтва
нассльн≥цтва	насельн≥цтва
на-стаҐн≥к	настаҐн≥к
настаҐ-н≥ка	настаҐн≥ка
на-стаҐн≥кам≥	настаҐн≥кам≥
на-стаҐн≥каҐ	настаҐн≥каҐ
настаҐ-н≥каҐ	настаҐн≥каҐ
настаҐн≥-каҐ	настаҐн≥каҐ
на-стаҐн≥к≥	настаҐн≥к≥
настаҐ-н≥к≥	настаҐн≥к≥
на-стойл≥ва	настойл≥ва
настой-л≥ва	настойл≥ва
наступ≥-ла	наступ≥ла
на-ступ≥ць	наступ≥ць
наступ-нага	наступнага
на-ступны	наступны
нас-тупным	наступным
насупрань	насупраць
на-супраць	насупраць
на-сустрач	насустрач
нвсустрач	насустрач
на-татак	нататак
на-таша	наташа
ната-ша	наташа
натх-нЄнай	натхнЄнай
нат-хн≥ла	натхн≥ла
на-тхн€е	натхн€е
натх-н€е	натхн€е
наҐ-рад	наҐрад
наҐрал	наҐрад
на-ц≥ску	нац≥ску
на-цый	нацый
нацы€на-л≥стаҐ	нацы€нал≥стаҐ
наны€нальнага	нацы€нальнага
нацы€-нальнага	нацы€нальнага
нацы€наль-нага	нацы€нальнага
нацы€налы≥ай	нацы€нальнай
на-цы€нальнай	нацы€нальнай
нацы€наль-най	нацы€нальнай
нацы€-нальнасцей	нацы€нальнасцей
нацы€наль-ную	нацы€нальную
на-цы€нальным	нацы€нальным
нацы€наль-ных	нацы€нальных
нацы€-налы≥ы€	нацы€нальны€
нацюр-мортаҐ	нацюрмортаҐ
на-чальн≥к	начальн≥к
на-ша	наша
нашв	наша
нвшв	наша
н€ша	наша
н€-ша	наша
на-шага	нашага
наша-га	нашага
нашагв	нашага
наш€га	нашага
нвшага	нашага
нзшага	нашага
пашага	нашага
нан≥ай	нашай
наша≥≥	нашай
на-шай	нашай
нашан	нашай
нашвй	нашай
нашзй	нашай
нашлй	нашай
наш€й	нашай
нвшай	нашай
нвшвй	нашай
нзшай	нашай
нлшай	нашай
н€шай	нашай
н€-шай	нашай
на-шу	нашу
на-шчадкаҐ	нашчадкаҐ
нашм	нашы
нашн	нашы
на-шы	нашы
нвшы	нашы
нлшы	нашы
н€шы	нашы
на-шым	нашым
н€шым	нашым
н€-шым	нашым
на-шым≥	нашым≥
на-шых	нашых
нвшых	нашых
на-шэсце	нашэсце
≥≥е	не
Ќс	Ќе
нс	не
не-абходна	неабходна
нсабходна	неабходна
неабход-нае	неабходнае
неаб-ходную	неабходную
неабход-ным	неабходным
неад-наразова	неаднаразова
неадоль-ную	неадольную
не-ба	неба
нсба	неба
нс-ба	неба
небс	небе
неве-рагодна	неверагодна
невера-годна	неверагодна
нсв€дома	нев€дома
нев€до-мых	нев€домых
нсв€л≥к≥	нев€л≥к≥
нсв€л≥к≥€	нев€л≥к≥€
нсда-лЄка	недалЄка
не-далЄк≥м	недалЄк≥м
неластаткова	недастаткова
нелахоп	недахоп
не-дахопаҐ	недахопаҐ
недахоны	недахопы
незабыҐ-ны€	незабыҐны€
незалеж-на	незалежна
неза-лежнасц≥	незалежнасц≥
не-залежнасць	незалежнасць
неза-лежнасць	незалежнасць
незаслу-жана	незаслужана
незвычай-на€	незвычайна€
незвычай-ную	незвычайную
неэвычайную	незвычайную
не-звычайны	незвычайны
незра-зумелы€	незразумелы€
ней-ка€	нейка€
ней-к≥	нейк≥
ненкую	нейкую
нейтра-л≥тэту	нейтрал≥тэту
нейтраль-на€	нейтральна€
не-кал≥	некал≥
не-кальк≥	некальк≥
некаль-к≥	некальк≥
не-квльк≥	некальк≥
неклльк≥	некальк≥
нек€льк≥	некальк≥
нскальк≥	некальк≥
некаль-к≥х	некальк≥х
не-каму	некаму
некато-ры	некаторы
не-каторых	некаторых
некато-рых	некаторых
нематорых	некаторых
нскаторых	некаторых
некато-ры€	некаторы€
нскаторы€	некаторы€
нс-каторы€	некаторы€
нскато-ры€	некаторы€
нелыа	нельга
нель-га	нельга
Ќсльга	нельга
нсльга	нельга
не-магчыма	немагчыма
немаг-чыма	немагчыма
нсмагчыма	немагчыма
немны	немцы
непа-рушнае	непарушнае
непа-рушна€	непарушна€
нспасрэдна	непасрэдна
нспасрэдных	непасрэдных
непаҐ-торна€	непаҐторна€
неҐзабавс	неҐзабаве
не-шта	нешта
нс€к	не€к
Ќс€к	Ќе€к
н≥бм	н≥бы
н≥-быта	н≥быта
н≥ка-вых	н≥кавых
н≥к≥фа-раҐ	н≥к≥фараҐ
≥≥≥кол≥	н≥кол≥
н≥-кол≥	н≥кол≥
н≥-кольк≥	н≥кольк≥
≥≥≥х-то	н≥хто
н≥-чога	н≥чога
н≥чо-га	н≥чога
н≥-€к≥х	н≥€к≥х
новабу-доҐл€Ґ	новабудоҐл€Ґ
ноаага	новага
но-вага	новага
нова-га	новага
новагв	новага
новаг€	новага
новвгв	новага
нов€га	новага
нонага	новага
нопага	новага
но-вае	новае
новас	новае
но-вай	новай
нован	новай
новвй	новай
нопа€	нова€
но-в≥кава	нов≥кава
ноаую	новую
но-вую	новую
но-вы	новы
новы-м≥	новым≥
нопым≥	новым≥
ноаых	новых
но-вых	новых
ноаы€	новы€
но-вы€	новы€
нопы€	новы€
но€ы€	новы€
нос≥нь	нос≥ць
нос€нь	нос€ць
нумвры	нумары
н€-гледз€чы	н€гледз€чы
н€-даҐна	н€даҐна
н€даҐ-на	н€даҐна
н€даҐ-н€	н€даҐна
Ќ€длҐна	Ќ€даҐна
н€лаҐна	н€даҐна
н€дзвл€х	н€дзел€х
н€дзсл€х	н€дзел€х
н€дэел€х	н€дзел€х
н€-лЄгка	н€лЄгка
н€-ма	н€ма
н€мв	н€ма
н€мз	н€ма
н€мл	н€ма
н€м€	н€ма
н€ма-ла	н€мала
н€м€ла	н€мала
н€мецкафашысцк≥м≥	н€мецка-фашысцк≥м≥
н€мецкафашысцк≥х	н€мецка-фашысцк≥х
н€-мецк≥€	н€мецк≥€
Ќ€м≥г€	Ќ€м≥га
н€-м≥г≥	н€м≥г≥
н€-рэдка	н€рэдка
н€рэд-ка	н€рэдка
Ќнсв≥жскага	Ќ€св≥жскага
н€спын-нага	н€спыннага
н€-спынных	н€спынных
н€ста-чы	н€стачы
н€-Ґх≥льна	н€Ґх≥льна
н€-хай	н€хай
Ќ€хвй	Ќ€хай
опер-ны	оперны
опер-ных	оперных
оперы*	оперы
опсры	оперы
оргвн	орган
ордзна	ордэна
пабл≥эу	пабл≥зу
пабу-давал≥	пабудавал≥
па-будавана	пабудавана
пабудаааны	пабудаваны
пабу-даваны	пабудаваны
пабу-лаваных	пабудаваных
пвбудвваҐ	пабудаваҐ
пабы-вала	пабывала
пабы-вал≥	пабывал≥
па-бываҐ	пабываҐ
пабызаҐ	пабываҐ
па-быҐ	пабыҐ
па-вагай	павагай
паважа-ны€	паважаны€
паведа-м≥л≥	паведам≥л≥
паведа-м≥Ґ	паведам≥Ґ
павсдам≥Ґ	паведам≥Ґ
па-ведамленне	паведамленне
паве-дамленне	паведамленне
паведам-л€е	паведамл€е
па-вел	павел
пав≥льЄ-ны	пав≥льЄны
≥≥ав≥нен	пав≥нен
пав≥-нен	пав≥нен
плв≥нен	пав≥нен
паа≥нна	пав≥нна
пав≥н-на	пав≥нна
пап≥нна	пав≥нна
пав≥н-ны	пав≥нны
пап≥нны	пав≥нны
пвв≥нны	пав≥нны
плв≥нны	пав≥нны
п€в≥нны	пав≥нны
п€в≥н-ны	пав≥нны
паводз≥-нам≥	паводз≥нам≥
паволы≥а	павольна
па-выс≥ць	павыс≥ць
павышэн-н≥	павышэнн≥
па-в€л≥чылас€	пав€л≥чылас€
пав€л≥чы-л≥с€	пав€л≥чыл≥с€
пав€л≥-чыць	пав€л≥чыць
пагл€дзень	пагл€дзець
па-гл€дзець	пагл€дзець
пагл€-дз≥	пагл€дз≥
на-грозы	пагрозы
па-грозы	пагрозы
па-гутарыць	пагутарыць
пвд	пад
пзд	пад
пададзе-ны	пададзены
падар-ваць	падарваць
падарож-жа	падарожжа
паларожжа	падарожжа
падарож-жаҐ	падарожжаҐ
па-дарожжах	падарожжах
пада-рожжах	падарожжах
пада-рунак	падарунак
паларунк≥	падарунк≥
пада-рыць	падарыць
на-даць	падаць
пад-бегла	падбегла
пад-в€ргаҐс€	падв€ргаҐс€
падзс≥	падзе≥
па-дзей	падзей
п€дзей	падзей
падз€ка-ваць	падз€каваць
падз€-ку	падз€ку
пад-копы	падкопы
падкрэсл≥вас	падкрэсл≥вае
пад-крэсл≥ваҐ	падкрэсл≥ваҐ
падкрэс-л≥Ґ	падкрэсл≥Ґ
пвдкрэсл≥Ґ	падкрэсл≥Ґ
палн€Ґс€	падн€Ґс€
палобны	падобны
палобны€	падобны€
падп≥с-ных	падп≥сных
падраб€эна	падраб€зна
пад-раб€зным	падраб€зным
падрых-таваны	падрыхтаваны
падрыхтананы	падрыхтаваны
падрых-таваць	падрыхтаваць
пад-рыхтоҐцы	падрыхтоҐцы
падрыхтоҐ-цы	падрыхтоҐцы
палрыхтоҐцы	падрыхтоҐцы
палставы	падставы
паду-май	падумай
падумань	падумаць
паду-маць	падумаць
палумаць	падумаць
паеэдка	паездка
паезлк≥	паездк≥
па-ехаць	паехаць
пажаланн≥	пажаданн≥
паза-штатны	пазаштатны
паз≥ны≥	паз≥цы≥
па-з≥цы≥	паз≥цы≥
паэ≥цый	паз≥цый
па-з≥цы€х	паз≥цы€х
пазнаЄ-м≥л≥с€	пазнаЄм≥л≥с€
па-энаЄм≥л≥с€	пазнаЄм≥л≥с€
паэнаЄм≥Ґс€	пазнаЄм≥Ґс€
пазнаЄ-м≥цца	пазнаЄм≥цца
паэнаЄм≥цца	пазнаЄм≥цца
√≤азней	пазней
па-зней	пазней
пайсн≥	пайсц≥
пай-сц≥	пайсц≥
пай-шла	пайшла
паншла	пайшла
пай-шоҐ	пайшоҐ
па-казана	паказана
пака-заҐ	паказаҐ
паказань	паказаць
па-казаць	паказаць
пакаэаць	паказаць
паказвас	паказвае
па-казвас	паказвае
па-казваецца	паказваецца
паказвань	паказваць
па-казу	паказу
пака-ленн≥	пакаленн≥
пакален-н≥	пакаленн≥
па-каленн€	пакаленн€
пакален-н€	пакаленн€
пакамун≥стычнаму	па-камун≥стычнаму
па-карыцел€	пакарыцел€
пакарыце-л€м	пакарыцел€м
пакарэн-н€	пакарэнн€
пак≥-дал≥	пак≥дал≥
пак≥-нуҐ	пак≥нуҐ
пак≥нунь	пак≥нуць
па-к≥нуць	пак≥нуць
пак≥-нуць	пак≥нуць
па-клЄп	паклЄп
нако≥	пако≥
па-кой	пакой
па-кончыць	пакончыць
пакон-чыць	пакончыць
па-куль	пакуль
п€куль	пакуль
пала-цам	палацам
па-лепшыць	палепшыць
палеп-шыць	палепшыць
па-лет	палет
палет	палЄт
па-лЄт	палЄт
пвлЄт	палЄт
па-лЄтах	палЄтах
палЄ-тах	палЄтах
палбту	палЄту
палету	палЄту
па-лЄту	палЄту
палЄ-ту	палЄту
палеҐ	палЄҐ
палеце	палЄце
пал≥граф≥ч-ным	пал≥граф≥чным
пал≥ты-ка	пал≥тыка
па-л≥тык≥	пал≥тык≥
пал≥-тык≥	пал≥тык≥
пал≥тыч-най	пал≥тычнай
пал≥тыч-ную	пал≥тычную
пал≥тыч-ны	пал≥тычны
пвл≥тычны€	пал≥тычны€
пал≥-цыю	пал≥цыю
палот-н≥шчах	палотн≥шчах
па-лотны	палотны
палым€-нага	палым€нага
пальчэҐ-скага	пальчэҐскага
па-люб≥ць	палюб≥ць
пал€-цела	пал€цела
пал€-цеҐ	пал€цеҐ
па-мешчыка	памешчыка
па-м≥ж	пам≥ж
памы-лак	памылак
пам€-тае	пам€тае
па-м€таю	пам€таю
пам€нь	пам€ць
пвм€ць	пам€ць
пам€шканнс	пам€шканне
па-нерыҐ	панерыҐ
пан€ц-ц≥	пан€цц≥
ѕапершае	ѕа-першае
папсры	паперы
папоҐ-н≥Ґс€	папоҐн≥Ґс€
па-прас≥Ґ	папрас≥Ґ
≤≤апул€рнасць	папул€рнасць
ла-рад	парад
паралак	парадак
парад-ку	парадку
паралку	парадку
пара-ды	парады
паране-ны	паранены
парансны	паранены
параҐ-нанн≥	параҐнанн≥
параҐнан-н≥	параҐнанн≥
пара-шутыстаҐ	парашутыстаҐ
парка-вую	паркавую
пар-най	парнай
партрзты	партрэты
парт-рэты	партрэты
партрэ-ты	партрэты
партыэан	партызан
партызан-скага	партызанскага
пар-тызанскай	партызанскай
партызан-скай	партызанскай
нартызаны	партызаны
партыэаны	партызаны
ларты≥	парты≥
нарты≥	парты≥
паргы≥	парты≥
пар-ты≥	парты≥
пврты≥	парты≥
пзрты≥	парты≥
плрты≥	парты≥
партыйнаарган≥зацыйнай	партыйна-арган≥зацыйнай
партыннага	партыйнага
пар-тыйнай	партыйнай
партый-най	партыйнай
пар-тыйна€	партыйна€
партый-на€	партыйна€
партый-ных	партыйных
пар-ты€	парты€
пврты€	парты€
пвр-ты€	парты€
пасадз≥нь	пасадз≥ць
па-сЄлка	пасЄлка
пасЄл-ках	пасЄлках
па-сЄлку	пасЄлку
пасла-л≥	паслал≥
па-слаць	паслаць
паслухай-це	паслухайце
г≥асл€	пасл€
ласл€	пасл€
насл€	пасл€
па-сл€	пасл€
пас-л€	пасл€
ѕвсл€	пасл€
пзсл€	пасл€
плсл€	пасл€
ѕ€сл€	ѕасл€
п€сл€	пасл€
пасл€-ваенны€	пасл€ваенны€
ласп€хова	пасп€хова
пас-п€хова	пасп€хова
пасп€хо-ва	пасп€хова
пас-п€ховага	пасп€ховага
пасп€хо-вага	пасп€ховага
пастав≥-л≥	пастав≥л≥
пастав≥пь	пастав≥ць
паста-в≥ць	пастав≥ць
паста-≥м	паста≥м
пастаноҐ-шчык	пастаноҐшчык
па-стаҐлены	пастаҐлены
пасту-паюць	паступаюць
паступ≥нь	паступ≥ць
пасту-п≥ць	паступ≥ць
пас€-джэнне	пас€джэнне
пас€лжэнн≥	пас€джэнн≥
пас€-джэнн€	пас€джэнн€
патраба-вальнасць	патрабавальнасць
патраба-ванн≥	патрабаванн≥
патраба-ванн€м	патрабаванн€м
пат-рабаваць	патрабаваць
натрабуе	патрабуе
па-трабуе	патрабуе
патра-буе	патрабуе
патрабус	патрабуе
патры€-тычна€	патры€тычна€
патрэ-бен	патрэбен
па-трзбна	патрэбна
патрэб-на	патрэбна
па-трэбны	патрэбны
натрэбы	патрэбы
паты-л≥ха	патыл≥ха
паҐ-дз≥кай	паҐдз≥кай
паҐ-натой	паҐнатой
паҐ-тараць	паҐтараць
паход-жанн€	паходжанн€
пача-ла	пачала
па-чалас€	пачалас€
пача-так	пачатак
пачат-ку	пачатку
па-чаҐ	пачаҐ
па-чаць	пачаць
пачнем	пачнЄм
па-чуҐ	пачуҐ
па-чу≥шЄ	пачуццЄ
па-чуццЄ	пачуццЄ
пачуццсм	пачуццем
пачуц-ц€Ґ	пачуцц€Ґ
пачуш≥€Ґ	пачуцц€Ґ
па-чын	пачын
пачынас	пачынае
пачы-наецца	пачынаецца
пачынаец-ца	пачынаецца
пачынасцца	пачынаецца
пачынаюнь	пачынаюць
па-чынаючы	пачынаючы
пачы-наючы	пачынаючы
пачынаю-чы	пачынаючы
пачынаю-чых	пачынаючых
па-чэснай	пачэснай
пашто-вак	паштовак
па-шырыҐс€	пашырыҐс€
па-шырыць	пашырыць
паэ-з≥≥	паэз≥≥
паээ≥≥	паэз≥≥
паэ-ма	паэма
пазмы	паэмы
наэт	паэт
пазт	паэт
ѕлэт	ѕаэт
п€эт	паэт
паэтл	паэта
па-этаҐ	паэтаҐ
паэ-таҐ	паэтаҐ
паэ-ты	паэты
плэты	паэты
паэ-тычных	паэтычных
па€-дынак	па€дынак
педа-гаг≥чнай	педагаг≥чнай
пелагог	педагог
пенс≥€-нер	пенс≥€нер
пе-раваг≥	пераваг≥
пера-грузак	перагрузак
пе-рад	перад
перал	перад
первд	перад
пер€д	перад
